Sample	Sample	Fragments_Used_for_Bidirectional_Calc[#]	Bidirectional_ANI[%]	Bidirectional_StDev[%]	Fragments_Used_for_Unidirectional_Calc[#]	Unidirectional_ANI[%]	Unidirectional_StDev[%]	Fragments_Used_for_Unidirectional_Calc[#]	Unidirectional_ANI[%]	Unidirectional_StDev[%]
Leptospira_jelokensis_GCF_004769775	Leptospira_idonii_GCF_004770995	2517.5	73.091	4.653	7821	72.669	4.565	7789	72.720	4.662
Leptospira_yasudae_GCF_003545925	Leptospira_idonii_GCF_004770995	702.5	70.876	4.106	2454	70.811	4.104	2424	70.854	4.059
Leptospira_mtsangambouensis_GCF_004770475	Leptospira_idonii_GCF_004770995	2580.5	73.299	4.701	8215	72.972	4.649	8185	72.999	4.684
Leptospira_licerasiae_GCF_000244755	Leptospira_idonii_GCF_004770995	704	70.911	4.153	2360	70.741	4.072	2392	70.731	4.162
Leptospira_biflexa_GCF_000017685	Leptospira_idonii_GCF_004770995	2546	73.129	4.701	7818	72.730	4.631	7821	72.800	4.843
Leptospira_kirschneri_GCF_000243695	Leptospira_idonii_GCF_004770995	664	70.791	4.082	2239	70.556	3.980	2210	70.603	4.029
Leptospira_sanjuanensis_GCF_022267325	Leptospira_idonii_GCF_004770995	637.5	70.980	4.185	2338	70.774	4.071	2353	70.945	4.372
Leptospira_kmetyi_GCF_000243735	Leptospira_idonii_GCF_004770995	712.5	70.901	4.087	2499	70.760	4.154	2507	70.782	4.174
Leptospira_selangorensis_GCF_004769405	Leptospira_idonii_GCF_004770995	695.5	71.038	4.111	2381	70.879	4.147	2415	70.836	4.173
Leptospira_bouyouniensis_GCF_004770445	Leptospira_idonii_GCF_004770995	2607.5	72.959	4.571	7918	72.585	4.555	7910	72.602	4.614
Leptospira_fainei_GCF_000306235	Leptospira_idonii_GCF_004770995	624.5	70.354	4.090	2097	70.232	3.984	2109	70.257	4.022
Leptospira_chreensis_GCF_016919165	Leptospira_idonii_GCF_004770995	2629	73.435	4.679	8142	72.995	4.626	8689	72.937	4.611
Leptospira_iowaensis_GCF_040833965	Leptospira_idonii_GCF_004770995	2491.5	73.046	4.694	7912	72.635	4.610	7850	72.731	4.753
Leptospira_tipperaryensis_GCF_001729245	Leptospira_idonii_GCF_004770995	738	70.853	4.147	2512	70.688	4.076	2530	70.788	4.317
Leptospira_neocaledonica_GCF_002812205	Leptospira_idonii_GCF_004770995	709	70.967	4.166	2386	70.826	4.096	2379	70.787	4.079
Leptospira_semungkisensis_GCF_004770055	Leptospira_idonii_GCF_004770995	662	70.792	4.142	2269	70.636	4.115	2262	70.625	4.131
Leptospira_ainazelensis_GCF_016918785	Leptospira_meyeri_GCF_004368965	589	69.829	3.916	2020	69.876	4.045	2031	69.796	3.859
Leptospira_langatensis_GCF_004770615	Leptospira_idonii_GCF_004770995	655	70.682	3.932	2202	70.646	4.055	2216	70.633	4.048
Leptospira_adleri_GCF_002811985	Leptospira_idonii_GCF_004770995	682	70.796	4.218	2400	70.703	4.085	2358	70.698	4.063
Leptospira_dzoumogneensis_GCF_004770895	Leptospira_idonii_GCF_004770995	681.5	71.263	4.890	2416	71.062	4.701	2410	71.059	4.717
Leptospira_fletcheri_GCF_004769195	Leptospira_idonii_GCF_004770995	577.5	70.551	3.866	1993	70.437	3.952	1994	70.417	3.938
Leptospira_noumeaensis_GCF_004770765	Leptospira_idonii_GCF_004770995	2700.5	73.318	4.725	8364	72.956	4.671	8338	72.972	4.646
Leptospira_santarosai_GCF_000313175	Leptospira_jelokensis_GCF_004769775	483.5	69.716	3.905	1667	69.758	4.115	1662	69.829	4.256
Leptospira_alexanderi_GCF_000243815	Leptospira_idonii_GCF_004770995	641.5	70.690	3.987	2194	70.562	4.014	2175	70.561	4.010
Leptospira_stimsonii_GCF_003545885	Leptospira_idonii_GCF_004770995	699.5	70.830	4.096	2420	70.672	4.042	2420	70.639	3.983
Leptospira_koniambonensis_GCF_004769555	Leptospira_idonii_GCF_004770995	694.5	70.981	4.262	2357	70.628	4.070	2350	70.700	4.043
Leptospira_wolbachii_GCF_000332515	Leptospira_idonii_GCF_004770995	2636	73.358	4.693	8118	72.952	4.618	8104	73.049	4.830
Leptospira_yanagawae_GCF_000332475	Leptospira_idonii_GCF_004770995	2478	73.154	4.714	7761	72.798	4.686	7744	72.863	4.795
Leptospira_santarosai_GCF_000313175	Leptospira_idonii_GCF_004770995	634	70.856	4.101	2141	70.700	3.999	2149	70.822	4.270
Leptospira_weilii_GCF_006874745	Leptospira_idonii_GCF_004770995	677.5	70.946	4.054	2333	70.750	3.986	2329	70.879	4.256
Leptospira_hartskeerlii_GCF_002811475	Leptospira_idonii_GCF_004770995	700.5	70.862	4.144	2343	70.740	4.121	2329	70.786	4.082
Leptospira_andrefontaineae_GCF_004770105	Leptospira_idonii_GCF_004770995	698	71.010	4.255	2342	70.705	4.119	2333	70.741	4.097
Leptospira_venezuelensis_GCF_002150035	Leptospira_idonii_GCF_004770995	694.5	70.811	4.222	2368	70.561	4.144	2342	70.636	4.142
Leptospira_barantonii_GCF_002811925	Leptospira_idonii_GCF_004770995	703	70.871	4.099	2492	70.783	4.169	2478	70.802	4.123
Leptospira_perdikensis_GCF_004769575	Leptospira_idonii_GCF_004770995	2646	73.287	4.727	8215	72.879	4.676	8200	72.897	4.658
Leptospira_wolffii_GCF_000306115	Leptospira_idonii_GCF_004770995	639	70.633	4.021	2214	70.653	4.135	2242	70.641	4.088
Leptospira_inadai_GCF_000243675	Leptospira_idonii_GCF_004770995	618.5	70.310	3.884	2076	70.187	3.859	2100	70.389	4.208
Leptospira_montravelensis_GCF_004769455	Leptospira_idonii_GCF_004770995	2669	73.317	4.685	8245	72.874	4.603	8219	72.897	4.648
Leptospira_alexanderi_GCF_000243815	Leptospira_jelokensis_GCF_004769775	483.5	69.815	3.771	1688	69.850	4.064	1687	69.698	3.800
Leptospira_bandrabouensis_GCF_004770905	Leptospira_idonii_GCF_004770995	2693.5	73.374	4.689	8263	72.940	4.654	8224	72.960	4.727
Leptospira_ainazelensis_GCF_016918785	Leptospira_idonii_GCF_004770995	697.5	70.678	4.080	2471	70.678	4.075	2429	70.740	4.010
Leptospira_noguchii_GCF_000306255	Leptospira_idonii_GCF_004770995	679.5	70.741	4.132	2266	70.522	3.998	2272	70.641	4.200
Leptospira_levettii_GCF_002812085	Leptospira_idonii_GCF_004770995	2459.5	73.022	4.604	7878	72.684	4.572	7801	72.684	4.530
Leptospira_borgpetersenii_GCF_003046425	Leptospira_idonii_GCF_004770995	640.5	70.668	3.916	2219	70.493	3.949	2181	70.514	3.916
Leptospira_interrogans_GCF_000343165	Leptospira_idonii_GCF_004770995	668	70.672	4.050	2259	70.473	4.013	2250	70.496	3.962
Leptospira_ilyithenensis_GCF_004771005	Leptospira_idonii_GCF_004770995	4108.5	75.300	4.698	11818	74.851	4.746	11819	74.849	4.734
Leptospira_alstonii_GCF_000347175	Leptospira_idonii_GCF_004770995	651	70.874	4.053	2180	70.818	4.033	2219	71.048	4.527
Leptospira_broomii_GCF_000243715	Leptospira_idonii_GCF_004770995	618	70.247	3.807	2125	70.167	3.895	2137	70.187	3.942
Leptospira_kemamanensis_GCF_004769665	Leptospira_idonii_GCF_004770995	2566	73.244	4.651	7826	72.899	4.594	7773	72.899	4.573
Leptospira_yasudae_GCF_003545925	Leptospira_jelokensis_GCF_004769775	511	69.681	4.050	1706	69.833	4.270	1697	69.608	3.922
Leptospira_kanakyensis_GCF_004769235	Leptospira_idonii_GCF_004770995	2696	73.383	4.838	8340	73.030	4.762	8283	73.029	4.750
Leptospira_cinconiae_GCF_040833995	Leptospira_jelokensis_GCF_004769775	536	70.108	4.068	1804	69.987	4.207	1842	69.924	4.307
Leptospira_licerasiae_GCF_000244755	Leptospira_jelokensis_GCF_004769775	551	70.092	4.141	1850	69.995	4.248	1903	69.821	3.990
Leptospira_neocaledonica_GCF_002812205	Leptospira_jelokensis_GCF_004769775	560.5	69.966	4.038	1908	70.062	4.220	1925	69.892	3.910
Leptospira_fainei_GCF_000306235	Leptospira_jelokensis_GCF_004769775	444	69.405	3.878	1568	69.474	4.212	1573	69.306	3.904
Leptospira_selangorensis_GCF_004769405	Leptospira_jelokensis_GCF_004769775	564	70.151	4.162	1913	70.052	4.233	1965	69.860	3.953
Leptospira_dzoumogneensis_GCF_004770895	Leptospira_jelokensis_GCF_004769775	531.5	70.144	4.081	1812	70.104	4.262	1821	69.931	3.996
Leptospira_semungkisensis_GCF_004770055	Leptospira_jelokensis_GCF_004769775	525.5	69.785	4.067	1719	69.822	4.229	1723	69.643	3.892
Leptospira_weilii_GCF_006874745	Leptospira_jelokensis_GCF_004769775	497	69.709	3.808	1647	69.793	4.098	1630	69.870	4.258
Leptospira_hartskeerlii_GCF_002811475	Leptospira_jelokensis_GCF_004769775	547	70.033	4.120	1843	70.057	4.249	1855	69.891	3.970
Leptospira_langatensis_GCF_004770615	Leptospira_jelokensis_GCF_004769775	494.5	69.737	4.116	1631	69.771	4.271	1655	69.568	3.964
Leptospira_iowaensis_GCF_040833965	Leptospira_jelokensis_GCF_004769775	6045.5	81.891	5.498	15916	81.386	5.665	15935	81.391	5.681
Leptospira_bouyouniensis_GCF_004770445	Leptospira_jelokensis_GCF_004769775	6496	83.696	6.202	16477	83.089	6.336	16446	83.094	6.318
Leptospira_harrisiae_GCF_002811945	Leptospira_jelokensis_GCF_004769775	5296.5	78.697	5.462	14248	78.097	5.554	14242	78.094	5.523
Leptospira_sanjuanensis_GCF_022267325	Leptospira_jelokensis_GCF_004769775	497.5	69.792	4.162	1717	69.822	4.210	1731	69.879	4.343
Leptospira_kirschneri_GCF_000243695	Leptospira_jelokensis_GCF_004769775	535.5	70.132	3.964	1823	70.021	4.115	1798	69.920	3.911
Leptospira_adleri_GCF_002811985	Leptospira_jelokensis_GCF_004769775	514.5	69.596	3.894	1757	69.717	4.230	1738	69.558	3.875
Leptospira_biflexa_GCF_000017685	Leptospira_jelokensis_GCF_004769775	6505.5	82.465	5.432	16089	82.071	5.624	16101	82.064	5.640
Leptospira_mtsangambouensis_GCF_004770475	Leptospira_jelokensis_GCF_004769775	5474	78.729	5.448	14436	78.245	5.576	14428	78.233	5.558
Leptospira_chreensis_GCF_016919165	Leptospira_jelokensis_GCF_004769775	5202	78.686	5.381	14364	78.056	5.463	15466	77.963	5.380
Leptospira_kmetyi_GCF_000243735	Leptospira_jelokensis_GCF_004769775	533.5	69.648	4.070	1785	69.688	4.182	1781	69.540	3.957
Leptospira_tipperaryensis_GCF_001729245	Leptospira_jelokensis_GCF_004769775	546.5	69.841	4.082	1898	69.846	4.165	1926	69.918	4.282
Leptospira_andrefontaineae_GCF_004770105	Leptospira_jelokensis_GCF_004769775	563	70.194	4.118	1894	70.217	4.231	1921	70.008	3.944
Leptospira_stimsonii_GCF_003545885	Leptospira_jelokensis_GCF_004769775	541	69.921	4.015	1845	69.871	4.173	1857	69.694	3.864
Leptospira_venezuelensis_GCF_002150035	Leptospira_jelokensis_GCF_004769775	574.5	70.112	4.132	1941	70.123	4.274	1956	70.017	3.956
Leptospira_wolbachii_GCF_000332515	Leptospira_jelokensis_GCF_004769775	5305	78.433	5.335	14318	77.911	5.445	14315	77.978	5.481
Leptospira_koniambonensis_GCF_004769555	Leptospira_jelokensis_GCF_004769775	592	70.187	4.134	1955	70.183	4.228	1970	70.015	3.922
Leptospira_yanagawae_GCF_000332475	Leptospira_jelokensis_GCF_004769775	7755.5	89.141	4.065	17517	88.972	4.225	17543	88.942	4.300
Leptospira_fletcheri_GCF_004769195	Leptospira_jelokensis_GCF_004769775	423	69.497	4.086	1489	69.486	4.236	1486	69.266	3.855
Leptospira_wolffii_GCF_000306115	Leptospira_jelokensis_GCF_004769775	452.5	69.676	4.133	1577	69.631	4.255	1589	69.451	3.894
Leptospira_borgpetersenii_GCF_003046425	Leptospira_jelokensis_GCF_004769775	500.5	69.793	3.907	1709	69.805	4.101	1696	69.660	3.770
Leptospira_inadai_GCF_000243675	Leptospira_jelokensis_GCF_004769775	446	69.321	3.915	1537	69.313	4.060	1565	69.436	4.280
Leptospira_ainazelensis_GCF_016918785	Leptospira_jelokensis_GCF_004769775	560.5	69.680	3.910	1892	69.707	4.087	1873	69.587	3.726
Leptospira_alstonii_GCF_000347175	Leptospira_jelokensis_GCF_004769775	471	69.765	3.810	1637	69.859	4.148	1698	70.040	4.632
Leptospira_cinconiae_GCF_040833995	Leptospira_yasudae_GCF_003545925	1603.5	71.885	4.353	5082	71.646	4.290	5160	71.712	4.516
Leptospira_mtsangambouensis_GCF_004770475	Leptospira_yasudae_GCF_003545925	532.5	69.862	3.930	1828	69.746	3.940	1815	69.875	4.075
Leptospira_noguchii_GCF_000306255	Leptospira_jelokensis_GCF_004769775	553.5	69.907	3.802	1917	70.004	4.149	1942	69.939	4.142
Leptospira_barantonii_GCF_002811925	Leptospira_jelokensis_GCF_004769775	547.5	69.777	4.051	1816	69.782	4.199	1815	69.621	3.901
Leptospira_broomii_GCF_000243715	Leptospira_jelokensis_GCF_004769775	467	69.472	4.219	1639	69.469	4.280	1636	69.360	4.010
Leptospira_interrogans_GCF_000343165	Leptospira_jelokensis_GCF_004769775	552	70.006	3.758	1896	70.009	4.090	1919	69.861	3.771
Leptospira_montravelensis_GCF_004769455	Leptospira_jelokensis_GCF_004769775	5233	78.577	5.509	14296	78.060	5.587	14255	78.064	5.564
Leptospira_noumeaensis_GCF_004770765	Leptospira_jelokensis_GCF_004769775	5179	78.853	5.431	14344	78.254	5.588	14310	78.240	5.542
Leptospira_levettii_GCF_002812085	Leptospira_jelokensis_GCF_004769775	6242	81.736	5.345	15865	81.390	5.557	15848	81.340	5.548
Leptospira_perdikensis_GCF_004769575	Leptospira_jelokensis_GCF_004769775	5424.5	78.663	5.683	14551	78.116	5.788	14500	78.118	5.734
Leptospira_kemamanensis_GCF_004769665	Leptospira_jelokensis_GCF_004769775	6598.5	83.467	4.865	16305	83.104	5.053	16297	83.071	5.030
Leptospira_harrisiae_GCF_002811945	Leptospira_yasudae_GCF_003545925	518.5	69.795	4.071	1750	69.715	3.966	1762	69.823	4.177
Leptospira_chreensis_GCF_016919165	Leptospira_yasudae_GCF_003545925	550	69.935	4.111	1841	69.820	3.917	1933	69.811	3.876
Leptospira_iowaensis_GCF_040833965	Leptospira_yasudae_GCF_003545925	499.5	69.814	4.168	1728	69.568	3.969	1736	69.813	4.428
Leptospira_fainei_GCF_000306235	Leptospira_yasudae_GCF_003545925	1580.5	71.645	4.090	5136	71.339	4.038	5207	71.363	4.070
Leptospira_tipperaryensis_GCF_001729245	Leptospira_yasudae_GCF_003545925	5585.5	79.639	5.054	15103	79.156	5.120	15144	79.171	5.185
Leptospira_kanakyensis_GCF_004769235	Leptospira_jelokensis_GCF_004769775	5307	78.837	5.543	14590	78.234	5.601	14603	78.202	5.567
Leptospira_ilyithenensis_GCF_004771005	Leptospira_jelokensis_GCF_004769775	2374	73.061	4.503	7471	72.710	4.549	7491	72.663	4.438
Leptospira_kirschneri_GCF_000243695	Leptospira_yasudae_GCF_003545925	4186	78.932	4.475	11567	78.529	4.609	11522	78.560	4.605
Leptospira_bandrabouensis_GCF_004770905	Leptospira_jelokensis_GCF_004769775	5327	78.647	5.515	14487	78.105	5.592	14498	78.101	5.595
Leptospira_sanjuanensis_GCF_022267325	Leptospira_yasudae_GCF_003545925	8102.5	93.149	3.299	18398	92.930	3.640	18613	92.877	3.888
Leptospira_biflexa_GCF_000017685	Leptospira_yasudae_GCF_003545925	517	69.834	4.059	1726	69.618	3.907	1728	69.822	4.394
Leptospira_kmetyi_GCF_000243735	Leptospira_yasudae_GCF_003545925	6412	83.203	5.387	16748	82.717	5.547	16784	82.699	5.568
Leptospira_licerasiae_GCF_000244755	Leptospira_yasudae_GCF_003545925	1553.5	71.609	4.215	5132	71.474	4.273	5239	71.451	4.292
Leptospira_neocaledonica_GCF_002812205	Leptospira_yasudae_GCF_003545925	1563.5	71.663	4.237	5086	71.456	4.199	5161	71.388	4.204
Leptospira_dzoumogneensis_GCF_004770895	Leptospira_yasudae_GCF_003545925	1572.5	71.803	4.379	5117	71.551	4.268	5192	71.531	4.266
Leptospira_semungkisensis_GCF_004770055	Leptospira_yasudae_GCF_003545925	1553.5	71.664	4.150	5021	71.471	4.216	5060	71.490	4.242
Leptospira_hartskeerlii_GCF_002811475	Leptospira_yasudae_GCF_003545925	1574.5	71.593	4.320	5074	71.376	4.202	5099	71.361	4.205
Leptospira_andrefontaineae_GCF_004770105	Leptospira_yasudae_GCF_003545925	1569	71.423	4.154	5037	71.283	4.179	5114	71.239	4.184
Leptospira_bouyouniensis_GCF_004770445	Leptospira_yasudae_GCF_003545925	518.5	69.574	3.938	1733	69.496	3.931	1731	69.571	4.186
Leptospira_selangorensis_GCF_004769405	Leptospira_yasudae_GCF_003545925	1574.5	71.559	4.252	5056	71.408	4.213	5123	71.384	4.216
Leptospira_koniambonensis_GCF_004769555	Leptospira_yasudae_GCF_003545925	1551.5	71.289	4.144	4898	71.159	4.177	4919	71.160	4.179
Leptospira_yanagawae_GCF_000332475	Leptospira_yasudae_GCF_003545925	485	69.728	3.882	1651	69.604	3.963	1640	69.822	4.382
Leptospira_langatensis_GCF_004770615	Leptospira_yasudae_GCF_003545925	1563	71.842	4.354	5101	71.557	4.279	5139	71.583	4.270
Leptospira_wolbachii_GCF_000332515	Leptospira_yasudae_GCF_003545925	525.5	69.959	4.028	1768	69.798	3.934	1813	70.128	4.574
Leptospira_venezuelensis_GCF_002150035	Leptospira_yasudae_GCF_003545925	1532	71.319	4.105	4906	71.157	4.166	4968	71.150	4.174
Leptospira_perdikensis_GCF_004769575	Leptospira_yasudae_GCF_003545925	521.5	69.758	3.995	1802	69.660	3.958	1804	69.725	4.005
Leptospira_stimsonii_GCF_003545885	Leptospira_yasudae_GCF_003545925	5242.5	79.521	5.061	14558	78.933	5.185	14556	78.946	5.187
Leptospira_wolffii_GCF_000306115	Leptospira_yasudae_GCF_003545925	1579	72.299	4.439	5209	71.976	4.317	5233	71.949	4.341
Leptospira_fletcheri_GCF_004769195	Leptospira_yasudae_GCF_003545925	1569	71.970	4.243	5074	71.792	4.173	5136	71.737	4.171
Leptospira_barantonii_GCF_002811925	Leptospira_yasudae_GCF_003545925	6390	82.819	5.162	16494	82.398	5.288	16558	82.387	5.297
Leptospira_weilii_GCF_006874745	Leptospira_yasudae_GCF_003545925	4414.5	80.901	4.803	11929	80.440	4.911	11960	80.467	4.962
Leptospira_noumeaensis_GCF_004770765	Leptospira_yasudae_GCF_003545925	521	69.839	4.066	1805	69.725	3.954	1784	69.777	3.948
Leptospira_montravelensis_GCF_004769455	Leptospira_yasudae_GCF_003545925	537	69.808	4.032	1775	69.740	3.918	1783	69.780	4.073
Leptospira_alexanderi_GCF_000243815	Leptospira_yasudae_GCF_003545925	4446	80.699	4.733	12088	80.235	4.835	12101	80.225	4.848
Leptospira_santarosai_GCF_000313175	Leptospira_yasudae_GCF_003545925	4311	80.835	4.597	11624	80.395	4.725	11608	80.426	4.783
Leptospira_adleri_GCF_002811985	Leptospira_yasudae_GCF_003545925	5189	79.856	5.181	14485	79.269	5.317	14387	79.288	5.301
Leptospira_borgpetersenii_GCF_003046425	Leptospira_yasudae_GCF_003545925	4305	80.314	4.560	11664	79.939	4.689	11623	79.950	4.688
Leptospira_broomii_GCF_000243715	Leptospira_yasudae_GCF_003545925	1569.5	71.502	4.141	5133	71.251	3.993	5171	71.260	4.046
Leptospira_noguchii_GCF_000306255	Leptospira_yasudae_GCF_003545925	4185.5	78.606	4.504	11685	78.187	4.587	11830	78.117	4.711
Leptospira_interrogans_GCF_000343165	Leptospira_yasudae_GCF_003545925	4190.5	78.482	4.503	11663	78.037	4.614	11625	78.044	4.627
Leptospira_levettii_GCF_002812085	Leptospira_yasudae_GCF_003545925	483.5	69.729	3.957	1675	69.582	3.886	1673	69.619	3.835
Leptospira_biflexa_GCF_000017685	Leptospira_cinconiae_GCF_040833995	560	70.018	4.063	1887	69.981	4.318	1866	69.966	4.351
Leptospira_bandrabouensis_GCF_004770905	Leptospira_yasudae_GCF_003545925	514.5	69.803	4.101	1772	69.699	3.936	1783	69.855	4.234
Leptospira_kemamanensis_GCF_004769665	Leptospira_yasudae_GCF_003545925	494.5	69.948	4.217	1745	69.832	4.261	1727	69.828	4.169
Leptospira_ilyithenensis_GCF_004771005	Leptospira_yasudae_GCF_003545925	683	70.287	3.796	2342	70.238	3.904	2310	70.271	3.840
Leptospira_ainazelensis_GCF_016918785	Leptospira_yasudae_GCF_003545925	5417	79.593	5.034	14607	79.118	5.158	14573	79.106	5.150
Leptospira_mtsangambouensis_GCF_004770475	Leptospira_cinconiae_GCF_040833995	584.5	70.205	4.185	1997	70.143	4.332	1956	70.041	4.069
Leptospira_inadai_GCF_000243675	Leptospira_yasudae_GCF_003545925	1567	71.684	4.156	5182	71.437	4.061	5307	71.580	4.325
Leptospira_kanakyensis_GCF_004769235	Leptospira_yasudae_GCF_003545925	523.5	69.973	3.989	1828	69.782	3.975	1799	69.855	3.988
Leptospira_licerasiae_GCF_000244755	Leptospira_cinconiae_GCF_040833995	7233.5	86.192	3.654	17112	85.996	3.866	17119	85.939	3.941
Leptospira_kirschneri_GCF_000243695	Leptospira_cinconiae_GCF_040833995	1387	71.837	4.245	4594	71.698	4.416	4568	71.653	4.184
Leptospira_sanjuanensis_GCF_022267325	Leptospira_cinconiae_GCF_040833995	1565	71.931	4.503	5094	71.714	4.522	5072	71.723	4.514
Leptospira_kmetyi_GCF_000243735	Leptospira_cinconiae_GCF_040833995	1533.5	71.930	4.380	5248	71.745	4.474	5224	71.697	4.299
Leptospira_harrisiae_GCF_002811945	Leptospira_cinconiae_GCF_040833995	558	70.218	4.194	1915	70.210	4.378	1899	70.093	4.148
Leptospira_tipperaryensis_GCF_001729245	Leptospira_cinconiae_GCF_040833995	1697.5	71.823	4.468	5493	71.622	4.442	5446	71.642	4.422
Leptospira_chreensis_GCF_016919165	Leptospira_cinconiae_GCF_040833995	557.5	70.264	4.239	1940	70.205	4.338	1992	70.043	3.903
Leptospira_iowaensis_GCF_040833965	Leptospira_cinconiae_GCF_040833995	555	70.046	4.300	1920	69.953	4.325	1890	70.048	4.310
Leptospira_sanjuanensis_GCF_022267325	Leptospira_mtsangambouensis_GCF_004770475	529.5	69.830	4.126	1811	69.803	4.061	1807	70.010	4.361
Leptospira_alstonii_GCF_000347175	Leptospira_yasudae_GCF_003545925	4742.5	81.997	4.734	12653	81.478	4.952	12730	81.474	5.050
Leptospira_bouyouniensis_GCF_004770445	Leptospira_cinconiae_GCF_040833995	548	70.017	4.056	1875	69.983	4.367	1833	69.940	4.121
Leptospira_fainei_GCF_000306235	Leptospira_cinconiae_GCF_040833995	3149.5	72.964	4.355	9693	72.740	4.443	9735	72.653	4.313
Leptospira_santarosai_GCF_000313175	Leptospira_cinconiae_GCF_040833995	1349.5	71.969	4.298	4374	71.772	4.439	4327	71.791	4.397
Leptospira_semungkisensis_GCF_004770055	Leptospira_cinconiae_GCF_040833995	4820	77.004	4.771	13719	76.597	4.900	13712	76.547	4.808
Leptospira_neocaledonica_GCF_002812205	Leptospira_cinconiae_GCF_040833995	7273.5	87.016	3.500	17076	86.852	3.671	17028	86.846	3.625
Leptospira_dzoumogneensis_GCF_004770895	Leptospira_cinconiae_GCF_040833995	7319	86.768	3.647	17107	86.630	3.840	17093	86.608	3.841
Leptospira_adleri_GCF_002811985	Leptospira_cinconiae_GCF_040833995	1550	71.752	4.257	5155	71.624	4.428	5074	71.557	4.192
Leptospira_selangorensis_GCF_004769405	Leptospira_cinconiae_GCF_040833995	7373	86.620	3.597	17031	86.426	3.814	17011	86.403	3.815
Leptospira_weilii_GCF_006874745	Leptospira_cinconiae_GCF_040833995	1352	71.834	4.291	4407	71.739	4.443	4389	71.748	4.418
Leptospira_langatensis_GCF_004770615	Leptospira_cinconiae_GCF_040833995	4949.5	76.934	4.841	13695	76.550	4.961	13655	76.533	4.867
Leptospira_yanagawae_GCF_000332475	Leptospira_cinconiae_GCF_040833995	521	70.064	4.161	1840	69.988	4.318	1792	70.035	4.211
Leptospira_wolbachii_GCF_000332515	Leptospira_cinconiae_GCF_040833995	581	70.207	4.247	1938	70.162	4.388	1940	70.315	4.544
Leptospira_levettii_GCF_002812085	Leptospira_cinconiae_GCF_040833995	553	69.788	3.958	1912	69.879	4.184	1855	69.775	3.852
Leptospira_andrefontaineae_GCF_004770105	Leptospira_cinconiae_GCF_040833995	7484.5	86.488	3.542	17140	86.281	3.813	17104	86.274	3.779
Leptospira_hartskeerlii_GCF_002811475	Leptospira_cinconiae_GCF_040833995	7296.5	86.577	3.515	16952	86.407	3.764	16871	86.433	3.658
Leptospira_venezuelensis_GCF_002150035	Leptospira_cinconiae_GCF_040833995	7171.5	85.435	3.724	17051	85.288	3.936	17061	85.251	3.954
Leptospira_koniambonensis_GCF_004769555	Leptospira_cinconiae_GCF_040833995	7343	86.025	3.593	17091	85.838	3.813	17063	85.825	3.775
Leptospira_alexanderi_GCF_000243815	Leptospira_cinconiae_GCF_040833995	1385	71.856	4.244	4444	71.736	4.405	4401	71.684	4.166
Leptospira_stimsonii_GCF_003545885	Leptospira_cinconiae_GCF_040833995	1560	71.720	4.255	5139	71.636	4.405	5108	71.572	4.191
Leptospira_noumeaensis_GCF_004770765	Leptospira_cinconiae_GCF_040833995	564.5	70.168	4.100	1964	70.114	4.347	1915	69.965	3.957
Leptospira_fletcheri_GCF_004769195	Leptospira_cinconiae_GCF_040833995	2921	73.130	4.445	9048	72.844	4.531	9046	72.763	4.373
Leptospira_barantonii_GCF_002811925	Leptospira_cinconiae_GCF_040833995	1593.5	71.978	4.358	5363	71.810	4.478	5303	71.737	4.283
Leptospira_wolffii_GCF_000306115	Leptospira_cinconiae_GCF_040833995	4557	75.863	4.888	12989	75.450	4.988	13024	75.369	4.892
Leptospira_inadai_GCF_000243675	Leptospira_cinconiae_GCF_040833995	3167	73.113	4.400	9582	72.815	4.493	9669	72.784	4.519
Leptospira_montravelensis_GCF_004769455	Leptospira_cinconiae_GCF_040833995	589.5	70.123	4.075	1973	70.111	4.349	1934	70.046	4.067
Leptospira_broomii_GCF_000243715	Leptospira_cinconiae_GCF_040833995	3183.5	73.026	4.304	9680	72.720	4.421	9735	72.655	4.317
Leptospira_bandrabouensis_GCF_004770905	Leptospira_cinconiae_GCF_040833995	545	70.336	4.176	1911	70.256	4.336	1879	70.239	4.187
Leptospira_perdikensis_GCF_004769575	Leptospira_cinconiae_GCF_040833995	564	70.113	4.108	1952	70.114	4.410	1887	70.069	4.050
Leptospira_interrogans_GCF_000343165	Leptospira_cinconiae_GCF_040833995	1365	71.696	4.158	4561	71.570	4.377	4509	71.501	4.114
Leptospira_alstonii_GCF_000347175	Leptospira_cinconiae_GCF_040833995	1410.5	71.981	4.347	4557	71.856	4.455	4579	71.924	4.618
Leptospira_kemamanensis_GCF_004769665	Leptospira_cinconiae_GCF_040833995	546	69.943	4.047	1868	69.981	4.356	1829	69.814	3.868
Leptospira_noguchii_GCF_000306255	Leptospira_cinconiae_GCF_040833995	1463.5	71.686	4.266	4651	71.546	4.403	4619	71.532	4.332
Leptospira_borgpetersenii_GCF_003046425	Leptospira_cinconiae_GCF_040833995	1366.5	71.730	4.177	4406	71.699	4.397	4370	71.628	4.124
Leptospira_kmetyi_GCF_000243735	Leptospira_mtsangambouensis_GCF_004770475	545	69.839	3.958	1877	69.859	4.006	1935	69.737	3.975
Leptospira_tipperaryensis_GCF_001729245	Leptospira_mtsangambouensis_GCF_004770475	618.5	70.198	4.113	2061	70.074	4.032	2098	70.204	4.282
